TF_name	target_id	target_name	target_synonyms
ZBTB33	ENSG00000267328	AC002398.12	-
ZBTB33	ENSG00000267439	AC002398.11	-
ZBTB33	ENSG00000267512	CTC-250I14.3	-
ZBTB33	ENSG00000267598	CTC-250I14.6	-
ZBTB33	ENSG00000267737	AC061992.2	-
ZBTB33	ENSG00000267796	LIN37	F25965,ZK418.4,lin-37
ZBTB33	ENSG00000268154	Metazoa_SRP	-
ZBTB33	ENSG00000268798	CTB-25B13.5	-
ZBTB33	ENSG00000270022	RNU12	-
ZBTB33	ENSG00000270361	RP11-307C12.13	-
ZBTB33	ENSG00000271380	RP11-307C12.12	-
ZBTB33	ENSG00000271982	SNORD58B	RNU58B,U58b
ZBTB33	ENSG00000272172	RP13-582O9.7	-
ZBTB33	ENSG00000272333	KMT2B	CXXC10,HRX2,MLL1B,MLL2,MLL4,TRX2,WBP-7,WBP7
ZBTB33	ENSG00000272426	RP11-108M9.6	-
ZBTB33	ENSG00000272721	RP11-778D9.12	-
ZBTB33	ENSG00000273162	RP11-108L7.15	-
ZBTB33	ENSG00000273181	RP11-778D9.13	-
ZBTB33	ENSG00000273802	HIST1H2BG	H2B.1A,H2B/a,H2BFA,dJ221C16.8
ZBTB33	ENSG00000274290	HIST1H2BE	H2B.h,H2B/h,H2BFH,dJ221C16.8
ZBTB33	ENSG00000274750	HIST1H3E	H3.1,H3/d,H3FD
ZBTB33	ENSG00000275494	RP11-266L9.8	-
ZBTB33	ENSG00000275515	RP11-295D4.7	-
ZBTB33	ENSG00000276027	U12	RNU12-1,RNU12L,RNU12P,dJ222E13.7
ZBTB33	ENSG00000276698	RP11-468E2.10	-
ZBTB33	ENSG00000276966	HIST1H4E	H4/j,H4FJ
ZBTB33	ENSG00000277075	HIST1H2AE	H2A.1,H2A.2,H2A/a,H2AFA
ZBTB33	ENSG00000277157	HIST1H4D	H4/b,H4FB,dJ221C16.9
ZBTB33	ENSG00000277170	RP11-295D4.4	-
ZBTB33	ENSG00000277224	HIST1H2BF	H2B/g,H2BFG
ZBTB33	ENSG00000277440	RP11-295D4.5	-
ZBTB33	ENSG00000277720	RP1-34B20.19	-
ZBTB33	ENSG00000278544	hsa-mir-1539	-
ZBTB33	ENSG00000278615	C11orf98	C11orf48
ZBTB33	ENSG00000278784	RP11-468E2.11	-
ZBTB33	ENSG00000278899	AL358852.1	-
ZBTB33	ENSG00000279216	AL022328.1	-
ZBTB33	ENSG00000279539	AC006486.10	-
ZBTB33	ENSG00000279602	CTD-3014M21.1	-
ZBTB33	ENSG00000280129	RP11-298I3.3	-
